# fintech-algorithms	0.13.0
# topic_id	subpath	entry
D00-F05-A07	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/coefficient-of-variation-and-scale-comparability	coefficientOfVariationAndScaleComparability
D00-F05-A08	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/z-score-robust-z-score-and-standardization	zScoreRobustZScoreAndStandardization
D00-F05-A09	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/skewness-and-tail-asymmetry	skewnessAndTailAsymmetry
D00-F05-A10	fintech-algorithms/foundations/dispersion-shape-and-robust-statistics/kurtosis-excess-kurtosis-and-tail-weight	kurtosisExcessKurtosisAndTailWeight
D00-F06-A01	fintech-algorithms/foundations/probability-and-random-variables/experiments-outcomes-sample-spaces-and-events	experimentsOutcomesSampleSpacesAndEvents
D00-F06-A02	fintech-algorithms/foundations/probability-and-random-variables/probability-rules-complements-unions-and-intersections	probabilityRulesComplementsUnionsAndIntersections
D00-F06-A03	fintech-algorithms/foundations/probability-and-random-variables/conditional-probability	conditionalProbability
D00-F06-A04	fintech-algorithms/foundations/probability-and-random-variables/independence-and-dependence	independenceAndDependence
D00-F06-A05	fintech-algorithms/foundations/probability-and-random-variables/bayes-theorem-and-base-rates	bayesTheoremAndBaseRates
D00-F06-A06	fintech-algorithms/foundations/probability-and-random-variables/discrete-and-continuous-random-variables	discreteAndContinuousRandomVariables
D00-F06-A07	fintech-algorithms/foundations/probability-and-random-variables/expected-value	expectedValue
D00-F06-A08	fintech-algorithms/foundations/probability-and-random-variables/variance-moments-and-moment-generating-intuition	varianceMomentsAndMomentGeneratingIntuition
D00-F06-A09	fintech-algorithms/foundations/probability-and-random-variables/joint-marginal-and-conditional-distributions	jointMarginalAndConditionalDistributions
D00-F06-A10	fintech-algorithms/foundations/probability-and-random-variables/covariance-and-correlation-of-random-variables	covarianceAndCorrelationOfRandomVariables
D00-F07-A01	fintech-algorithms/foundations/probability-distributions-and-simulation-basics/pmf-pdf-cdf-survival-and-quantile-functions	pmfPdfCdfSurvivalAndQuantileFunctions
D00-F07-A02	fintech-algorithms/foundations/probability-distributions-and-simulation-basics/bernoulli-and-binomial-distributions	bernoulliAndBinomialDistributions
D00-F07-A03	fintech-algorithms/foundations/probability-distributions-and-simulation-basics/poisson-distribution-and-event-counts	poissonDistributionAndEventCounts
D00-F07-A04	fintech-algorithms/foundations/probability-distributions-and-simulation-basics/uniform-distribution-and-random-sampling	uniformDistributionAndRandomSampling
D00-F07-A05	fintech-algorithms/foundations/probability-distributions-and-simulation-basics/normal-distribution-and-standard-normal	normalDistributionAndStandardNormal
D00-F07-A06	fintech-algorithms/foundations/probability-distributions-and-simulation-basics/lognormal-distribution-and-positive-quantities	lognormalDistributionAndPositiveQuantities
D00-F07-A07	fintech-algorithms/foundations/probability-distributions-and-simulation-basics/student-t-distribution-and-heavy-tails	studentTDistributionAndHeavyTails
D00-F07-A08	fintech-algorithms/foundations/probability-distributions-and-simulation-basics/exponential-gamma-and-weibull-waiting-time-models	exponentialGammaAndWeibullWaitingTimeModels
D00-F07-A09	fintech-algorithms/foundations/probability-distributions-and-simulation-basics/mixture-distributions-multimodality-and-fat-tails	mixtureDistributionsMultimodalityAndFatTails
D00-F07-A10	fintech-algorithms/foundations/probability-distributions-and-simulation-basics/random-sampling-and-monte-carlo-intuition	randomSamplingAndMonteCarloIntuition
D00-F08-A01	fintech-algorithms/foundations/sampling-estimation-and-statistical-inference/parameters-statistics-estimands-and-estimators	parametersStatisticsEstimandsAndEstimators
D00-F08-A02	fintech-algorithms/foundations/sampling-estimation-and-statistical-inference/sampling-distributions	samplingDistributions
D00-F08-A03	fintech-algorithms/foundations/sampling-estimation-and-statistical-inference/estimator-bias-consistency-efficiency-and-robustness	estimatorBiasConsistencyEfficiencyAndRobustness
D00-F08-A04	fintech-algorithms/foundations/sampling-estimation-and-statistical-inference/law-of-large-numbers	lawOfLargeNumbers
D00-F08-A05	fintech-algorithms/foundations/sampling-estimation-and-statistical-inference/central-limit-theorem	centralLimitTheorem
